0.0232319900, ktest0.txt, PID 0, 64173, n = 1, 28.9339367890, 
0.0274253030, ktest3.txt, PID 1, 8752, n = 4, 1.7559916100, 
0.0272033680, ktest3.txt, PID 0, 7028, n = 4, 2.5423982520, 
0.0272064720, ktest3.txt, PID 1, 9534, n = 4, 2.3958525630, 
0.0337341300, ktest3.txt, PID 3, 10783, n = 8, 3.8309985790, 
0.0340105280, ktest3.txt, PID 4, 6728, n = 8, 2.2150481320, 
0.0337144940, ktest3.txt, PID 0, 6269, n = 8, 1.8751782700, 
0.0339507960, ktest3.txt, PID 7, 11518, n = 8, 3.4571768450, 
0.0357554500, ktest3.txt, PID 1, 4302, n = 16, 1.4767858530, 
0.0351159130, ktest3.txt, PID 1, 2054, n = 16, 0.8773681800, 
0.0352106400, ktest3.txt, PID 8, 4111, n = 16, 1.3700701620, 
0.0353936940, ktest3.txt, PID 5, 2781, n = 16, 0.6915187690, 
0.0232264340, ktest4.txt, PID 0, 25926, n = 1, 6.6730733030, 
0.0223384510, ktest4.txt, PID 0, 25926, n = 1, 6.6685160770, 
0.0224711790, ktest4.txt, PID 0, 25926, n = 1, 6.6613117730, 
0.0223645390, ktest4.txt, PID 0, 25926, n = 1, 6.5592120880, 
0.0264048370, ktest4.txt, PID 1, 6462, n = 2, 0.8973375830, 
0.0260296740, ktest4.txt, PID 1, 43272, n = 2, 16.7643963110, 
0.0268245230, ktest4.txt, PID 1, 31461, n = 2, 8.3308922150, 
0.0273553820, ktest4.txt, PID 1, 27154, n = 2, 7.1549611430, 
0.0267445390, ktest4.txt, PID 3, 21147, n = 4, 6.3354289050, 
0.0268422410, ktest4.txt, PID 2, 15319, n = 4, 4.3720078290, 
0.0267794840, ktest4.txt, PID 0, 14060, n = 4, 4.4657520230, 
0.0268457080, ktest4.txt, PID 1, 19087, n = 4, 4.4275113500, 
0.0331883290, ktest4.txt, PID 3, 3097, n = 8, 0.6098258610, 
0.0329467160, ktest4.txt, PID 3, 11102, n = 8, 1.8717902220, 
0.0333747080, ktest4.txt, PID 5, 5320, n = 8, 1.1094660380, 
0.0328532620, ktest4.txt, PID 3, 13541, n = 8, 3.3878340310, 
0.0347510670, ktest4.txt, PID 0, 6326, n = 16, 1.4961440830, 
0.0349808580, ktest4.txt, PID 1, 4744, n = 16, 1.3645801340, 
0.0606728940, ktest4.txt, PID 7, 4830, n = 16, 1.2978227220, 
0.0235067830, ktest5.txt, PID 0, 47559, n = 1, 16.6148612200, 
0.0228926560, ktest5.txt, PID 0, 47559, n = 1, 16.1568320830, 
0.0223742850, ktest5.txt, PID 0, 47559, n = 1, 16.2811159300, 
0.0233293830, ktest5.txt, PID 0, 47559, n = 1, 16.5319639570, 
0.0267522320, ktest5.txt, PID 1, 109351, n = 2, 57.4291470050, 
0.0261893810, ktest5.txt, PID 0, 30714, n = 2, 11.2159858620, 
0.0269379740, ktest5.txt, PID 0, 60157, n = 2, 27.5711440230, 
0.0268431860, ktest5.txt, PID 0, 20369, n = 2, 5.2956883640, 
0.0268451990, ktest5.txt, PID 3, 34700, n = 4, 12.5357588600, 
0.0547139480, ktest5.txt, PID 2, 85092, n = 4, 55.6013005150, 
0.0266695040, ktest5.txt, PID 0, 131628, n = 4, 149.9703186340, 
0.0333623330, ktest5.txt, PID 6, 78588, n = 8, 99.3802199350, 
0.0334864730, ktest5.txt, PID 6, 120927, n = 8, 210.5464947850, 
0.0332843330, ktest5.txt, PID 6, 71791, n = 8, 85.6855408110, 
0.0333129600, ktest5.txt, PID 6, 77537, n = 8, 107.8797595620, 
0.0350663040, ktest5.txt, PID 6, 36197, n = 16, 37.6858836670, 
0.0351458890, ktest5.txt, PID 6, 78231, n = 16, 64.4354501690, 
0.0350252280, ktest5.txt, PID 6, 33521, n = 16, 29.8548485510, 
0.0347366560, ktest5.txt, PID 5, 31147, n = 16, 29.0543823580, 
0.0234899840, ktest6.txt, PID 0, 9678, n = 1, 2.3532823730, 
0.0225404150, ktest6.txt, PID 0, 9678, n = 1, 2.3091495180, 
0.0229608630, ktest6.txt, PID 0, 9678, n = 1, 2.3346023710, 
0.0233204070, ktest6.txt, PID 0, 9678, n = 1, 2.3436248160, 
0.0273054630, ktest6.txt, PID 1, 5755, n = 2, 0.9401098700, 
0.0272552990, ktest6.txt, PID 1, 11869, n = 2, 3.5771788500, 
0.0269928950, ktest6.txt, PID 1, 8192, n = 2, 1.9392901170, 
0.0270853180, ktest6.txt, PID 1, 14978, n = 2, 4.9427339030, 
0.0269617060, ktest6.txt, PID 3, 13450, n = 4, 3.9324506880, 
0.0269695510, ktest6.txt, PID 2, 8678, n = 4, 2.6969986470, 
0.0271836630, ktest6.txt, PID 2, 2562, n = 4, 0.3710866980, 
0.0269889570, ktest6.txt, PID 2, 7792, n = 4, 1.9706031790, 
0.0336542980, ktest6.txt, PID 6, 4571, n = 8, 1.1587500130, 
0.0332998240, ktest6.txt, PID 6, 7034, n = 8, 2.2669529280, 
0.0338210200, ktest6.txt, PID 4, 2143, n = 8, 0.3365523800, 
0.0622685820, ktest6.txt, PID 9, 1845, n = 16, 0.5538985680, 
0.0353105720, ktest6.txt, PID 1, 812, n = 16, 0.2820335120, 
0.0349743020, ktest6.txt, PID 1, 756, n = 16, 0.2523244970, 
0.0351236920, ktest6.txt, PID 8, 1356, n = 16, 0.2811280050, 
0.0229428750, ktest7.txt, PID 0, 49636, n = 1, 23.6683120700, 
0.0223897280, ktest7.txt, PID 0, 49636, n = 1, 23.6517123750, 
0.0226064160, ktest7.txt, PID 0, 49636, n = 1, 23.6462575510, 
0.0227283850, ktest7.txt, PID 0, 49636, n = 1, 23.6869248100, 
0.0274413390, ktest7.txt, PID 1, 16867, n = 2, 4.7095892700, 
0.0269834510, ktest7.txt, PID 0, 35268, n = 2, 12.0523795380, 
0.0267605640, ktest7.txt, PID 0, 31359, n = 2, 10.5620156150, 
0.0266148700, ktest7.txt, PID 1, 48137, n = 2, 20.9065556100, 
0.0271097970, ktest7.txt, PID 3, 29298, n = 4, 12.1714834570, 
0.0269274680, ktest7.txt, PID 1, 9767, n = 4, 2.8137138030, 
0.0269750670, ktest7.txt, PID 3, 13348, n = 4, 3.7468065260, 
0.0270217740, ktest7.txt, PID 0, 34201, n = 4, 14.0838161180, 
0.0335091740, ktest7.txt, PID 0, 5017, n = 8, 1.9290599540, 
0.0334600920, ktest7.txt, PID 6, 4513, n = 8, 1.5795656310, 
0.0338432600, ktest7.txt, PID 0, 13657, n = 8, 6.5666552870, 
0.0334213890, ktest7.txt, PID 6, 8224, n = 8, 3.4033375970, 
0.0350120280, ktest7.txt, PID 1, 6077, n = 16, 3.0165335320, 
0.0353017210, ktest7.txt, PID 1, 6516, n = 16, 3.0774514450, 
0.0352767450, ktest7.txt, PID 8, 7769, n = 16, 3.4406123720, 
0.0348999250, ktest7.txt, PID 1, 5687, n = 16, 2.3742289510, 
0.0235300900, ktest8.txt, PID 0, 37943, n = 1, 12.6581353060, 
0.0231428950, ktest8.txt, PID 0, 37943, n = 1, 12.5105832050, 
0.0228590630, ktest8.txt, PID 0, 37943, n = 1, 12.4573194360, 
0.0230570840, ktest8.txt, PID 0, 37943, n = 1, 12.3811425940, 
0.0275621710, ktest8.txt, PID 0, 160347, n = 2, 117.7692692900, 
0.0275215190, ktest8.txt, PID 0, 9506, n = 2, 1.9149859420, 
0.0270100310, ktest8.txt, PID 0, 13841, n = 2, 2.8324275240, 
0.0272189720, ktest8.txt, PID 0, 12521, n = 2, 2.5504238580, 
0.0272130210, ktest8.txt, PID 0, 5935, n = 4, 1.0630898190, 
0.0272621740, ktest8.txt, PID 0, 4739, n = 4, 0.9458503930, 
0.0275151210, ktest8.txt, PID 0, 8214, n = 4, 1.7294819240, 
0.0274466930, ktest8.txt, PID 0, 4670, n = 4, 0.7784635120, 
0.0338838510, ktest8.txt, PID 3, 16329, n = 8, 6.7252735240, 
0.0337145340, ktest8.txt, PID 3, 7445, n = 8, 2.5943535550, 
0.0339322110, ktest8.txt, PID 4, 20529, n = 8, 10.4129829650, 
0.0338386160, ktest8.txt, PID 3, 2889, n = 8, 0.6465023440, 
0.0357308100, ktest8.txt, PID 4, 2902, n = 16, 0.7174879230, 
0.0358518180, ktest8.txt, PID 1, 1131, n = 16, 0.4436315880, 
0.0352896740, ktest8.txt, PID 4, 2307, n = 16, 0.5295718500, 
0.0355752600, ktest8.txt, PID 3, 2523, n = 16, 0.7613633800, 
0.0230298300, ktest9.txt, PID 0, 17548, n = 1, 3.9996823160, 
0.0224299060, ktest9.txt, PID 0, 17548, n = 1, 4.0013605000, 
0.0227677980, ktest9.txt, PID 0, 17548, n = 1, 4.0005684360, 
0.0226306920, ktest9.txt, PID 0, 17548, n = 1, 4.0343622480, 
0.0267580230, ktest9.txt, PID 0, 5342, n = 2, 1.0470228760, 
0.0268562160, ktest9.txt, PID 1, 8051, n = 2, 2.1474631790, 
0.0265408190, ktest9.txt, PID 1, 8284, n = 2, 2.2427732580, 
0.0267874410, ktest9.txt, PID 1, 10873, n = 2, 2.9477111460, 
0.0267901860, ktest9.txt, PID 2, 6065, n = 4, 1.3144871880, 
0.0265591430, ktest9.txt, PID 3, 10000, n = 4, 2.9344376850, 
0.0268856750, ktest9.txt, PID 1, 6553, n = 4, 1.7602204390, 
0.0268757770, ktest9.txt, PID 1, 4658, n = 4, 0.9960459310, 
0.0336086310, ktest9.txt, PID 6, 2435, n = 8, 0.8916298490, 
0.0337690320, ktest9.txt, PID 7, 13758, n = 8, 4.2283869910, 
0.0333729300, ktest9.txt, PID 2, 6183, n = 8, 1.8687810760, 
0.0335485590, ktest9.txt, PID 7, 2964, n = 8, 1.1387745680, 
0.0350716930, ktest9.txt, PID 1, 2719, n = 16, 0.6948668570, 
0.0349173740, ktest9.txt, PID 3, 2962, n = 16, 0.6861055110, 
0.0347133010, ktest9.txt, PID 1, 2553, n = 16, 0.8495887770, 
